Gene > Primary DBID	Gene > Systematic Name	Gene > Standard Name	Gene > Qualifier	Gene > Chromosome > Identifier	Gene > Chromosome Location > Start	Gene > Chromosome Location > End	Gene > Chromosome Location > Strand	Gene > Overlapping Features > Primary DBID	Gene > Overlapping Features > Systematic Name	Gene > Overlapping Features > Standard Name	Gene > Overlapping Features > Qualifier	Gene > Overlapping Features > Chromosome Location > Start	Gene > Overlapping Features > Chromosome Location > End	Gene > Overlapping Features > Chromosome Location > Strand
S000000003	YAL003W	EFB1	Verified	chrI	142174	143160	1	S000007500	snR18	SNR18	""	142367	142468	1
S000000004	YAL005C	SSA1	Verified	chrI	139503	141431	-1	S000002136	YAL004W	""	Dubious	140760	141407	1
S000000014	YAL016W	TPD3	Verified	chrI	124879	126786	1	S000028728	YAL016C-A	""	Dubious	124755	125069	-1
S000000018	YAL020C	ATS1	Verified	chrI	113614	114615	-1	S000028729	YAL019W-A	""	Dubious	114250	114819	1
S000000024	YAL026C	DRS2	Verified	chrI	95630	99697	-1	S000028730	YAL026C-A	""	Dubious	95386	95823	-1
S000000024	YAL026C	DRS2	Verified	chrI	95630	99697	-1	S000119380	HRA1	HRA1	""	99305	99868	1
S000000025	YAL027W	SAW1	Verified	chrI	94687	95472	1	S000028730	YAL026C-A	""	Dubious	95386	95823	-1
S000000029	YAL031C	GIP4	Verified	chrI	84749	87031	-1	S000028731	YAL031W-A	""	Dubious	84669	84977	1
S000000032	YAL034W-A	MTW1	Verified	chrI	79718	80587	1	S000002137	YAL034C-B	""	Dubious	79489	79842	-1
S000000036	YAL038W	CDC19	Verified	chrI	71786	73288	1	S000028592	YAL037C-B	""	Dubious	72326	73300	-1
S000000040	YAL042W	ERV46	Verified	chrI	61316	62563	1	S000002138	YAL042C-A	""	Dubious	61231	61608	-1
S000000043	YAL045C	""	Dubious	chrI	57488	57796	-1	S000007586	YAL044W-A	""	Uncharacterized	57518	57850	1
S000000046	YAL048C	GEM1	Verified	chrI	52801	54789	-1	S000028733	YAL047W-A	""	Dubious	54584	54913	1
S000000054	YAL058W	CNE1	Verified	chrI	37464	38972	1	S000002139	YAL056C-A	""	Dubious	38696	39046	-1
S000000055	YAL059W	ECM1	Verified	chrI	36509	37147	1	S000028734	YAL059C-A	""	Dubious	36496	36918	-1
S000000072	YAR019C	CDC15	Verified	chrI	172211	175135	-1	S000028735	YAR019W-A	""	Dubious	174998	175330	1
S000000077	YAR029W	""	Uncharacterized	chrI	186321	186545	1	S000001821	YAR030C	""	Dubious	186512	186853	-1
S000000078	YAR031W	PRM9	Verified	chrI	186836	187732	1	S000001821	YAR030C	""	Dubious	186512	186853	-1
S000000095	YAR073W	IMD1	Dubious	chrI	227742	228953	1	S000002145	YAR075W	""	Dubious	228844	229317	1
S000000102	YBL006C	LDB7	Verified	chrII	216587	217129	-1	S000028596	YBL006W-A	""	Dubious	216711	216860	1
S000000107	YBL011W	SCT1	Verified	chrII	203538	205817	1	S000000108	YBL012C	""	Dubious	203406	203807	-1
S000000108	YBL012C	""	Dubious	chrII	203406	203807	-1	S000000107	YBL011W	SCT1	Verified	203538	205817	1
S000000135	YBL039C	URA7	Verified	chrII	143989	145728	-1	S000028814	YBL039C-A	""	Dubious	144948	145031	-1
S000000148	YBL052C	SAS3	Verified	chrII	119379	121874	-1	S000000149	YBL053W	""	Dubious	119335	119709	1
